Value Set Name,Code,CodeSystem
Yes No Indicator,N,HL70136
Yes No Indicator,Y,HL70136
Yes No Unknown,N,HL70136
Yes No Unknown,UNK,NULLFL
Yes No Unknown,Y,HL70136
Age unit,d,UCUM
Age unit,mo,UCUM
Age unit,a,UCUM
Ethnicity,H,HL70189
Ethnicity,2135-2,CDCREC
Ethnicity,N,HL70189
Ethnicity,2186-5,CDCREC
Ethnicity,U,HL70189
Ethnicity,UNK,NULLFL
Gender,M,HL70001
Gender,F,HL70001
Gender,PLR554,PLR
Gender,PLR555,PLR
Gender,PLR556,PLR
Gender,UNK,NULLFL
Race,1002-5,CDCREC
Race,2028-9,CDCREC
Race,2054-5,CDCREC
Race,2076-8,CDCREC
Race,2131-1,CDCREC
Race,UNK,NULLFL
Race,2106-3,CDCREC
Sex,F,HL70001
Sex,M,HL70001
Sex,U,HL70001
State,AK,FIPS5_2
State,AL,FIPS5_2
State,AR,FIPS5_2
State,AZ,FIPS5_2
State,CA,FIPS5_2
State,CO,FIPS5_2
State,CT,FIPS5_2
State,DC,FIPS5_2
State,DE,FIPS5_2
State,FL,FIPS5_2
State,GA,FIPS5_2
State,HI,FIPS5_2
State,IA,FIPS5_2
State,ID,FIPS5_2
State,IL,FIPS5_2
State,IN,FIPS5_2
State,KS,FIPS5_2
State,KY,FIPS5_2
State,LA,FIPS5_2
State,MA,FIPS5_2
State,MD,FIPS5_2
State,ME,FIPS5_2
State,MI,FIPS5_2
State,MN,FIPS5_2
State,MO,FIPS5_2
State,MS,FIPS5_2
State,MT,FIPS5_2
State,NC,FIPS5_2
State,ND,FIPS5_2
State,NE,FIPS5_2
State,NH,FIPS5_2
State,NJ,FIPS5_2
State,NM,FIPS5_2
State,PLR2189,PLR
State,NV,FIPS5_2
State,NY,FIPS5_2
State,OH,FIPS5_2
State,OK,FIPS5_2
State,OR,FIPS5_2
State,PA,FIPS5_2
State,PR,FIPS5_2
State,RI,FIPS5_2
State,SC,FIPS5_2
State,SD,FIPS5_2
State,TN,FIPS5_2
State,TX,FIPS5_2
State,UT,FIPS5_2
State,VA,FIPS5_2
State,VT,FIPS5_2
State,WA,FIPS5_2
State,WI,FIPS5_2
State,WV,FIPS5_2
State,WY,FIPS5_2
Identifier type,DR,HL70203
Identifier type,APRN,HL70203
Identifier type,AM,HL70203
Identifier type,ANON,HL70203
Identifier type,BC,HL70203
Identifier type,BR,HL70203
Identifier type,BRN,HL70203
Identifier type,CC,HL70203
Identifier type,CY,HL70203
Identifier type,DDS,HL70203
Identifier type,DI,HL70203
Identifier type,HC,HL70203
Identifier type,DN,HL70203
Identifier type,ANC,HL70203
Identifier type,DL,HL70203
Identifier type,DEA,HL70203
Identifier type,DFN,HL70203
Identifier type,EI,HL70203
Identifier type,EN,HL70203
Identifier type,FI,HL70203
Identifier type,GL,HL70203
Identifier type,GN,HL70203
Identifier type,GI,HL70203
Identifier type,DS,HL70203
Identifier type,PHC45,CDCPHINVS
Identifier type,TN,HL70203
Identifier type,MRT,HL70203
Identifier type,PNT,HL70203
Identifier type,ANT,HL70203
Identifier type,TAX,HL70203
Identifier type,SN,HL70203
Identifier type,U,HL70203
Identifier type,VS,HL70203
Identifier type,PHC44,CDCPHINVS
Identifier type,PHC41,CDCPHINVS
Identifier type,VN,HL70203
Identifier type,AND,HL70203
Identifier type,WC,HL70203
Identifier type,WCN,HL70203
Identifier type,RI,HL70203
Identifier type,SR,HL70203
Identifier type,SL,HL70203
Identifier type,SID,HL70203
Identifier type,SS,HL70203
Identifier type,STN,HL70203
Identifier type,AN,HL70203
Identifier type,PHC39,CDCPHINVS
Identifier type,PHC43,CDCPHINVS
Identifier type,DPM,HL70203
Identifier type,DO,HL70203
Identifier type,PPN,HL70203
Identifier type,PT,HL70203
Identifier type,PI,HL70203
Identifier type,MA,HL70203
Identifier type,MC,HL70203
Identifier type,PCN,HL70203
Identifier type,PEN,HL70203
Identifier type,PRC,HL70203
Identifier type,PN,HL70203
Identifier type,XX,HL70203
Identifier type,PA,HL70203
Identifier type,PHE,HL70203
Identifier type,MCD,HL70203
Identifier type,MCR,HL70203
Identifier type,PRN,HL70203
Identifier type,PHC,HL70203
Identifier type,PHC42,CDCPHINVS
Identifier type,PHO,HL70203
Identifier type,BA,HL70203
Identifier type,RR,HL70203
Identifier type,RRI,HL70203
Identifier type,RN,HL70203
Identifier type,RPH,HL70203
Identifier type,MI,HL70203
Identifier type,LI,HL70203
Identifier type,JHN,HL70203
Identifier type,PHC40,CDCPHINVS
Identifier type,LN,HL70203
Identifier type,PE,HL70203
Identifier type,LR,HL70203
Identifier type,MS,HL70203
Identifier type,MD,HL70203
Identifier type,MR,HL70203
Identifier type,UPIN,HL70203
Identifier type,MCN,HL70203
Identifier type,NE,HL70203
Identifier type,NH,HL70203
Identifier type,NII,HL70203
Identifier type,NIIP,HL70203
Identifier type,NNxxx,HL70203
Identifier type,QA,HL70203
Identifier type,NPI,HL70203
Identifier type,IND,HL70203
Identifier type,NI,HL70203
Identifier type,NP,HL70203
Identifier type,OD,HL70203
Identifier type,MB,HL70203
ARLN Regional Labs,MD,FIPS5_2
ARLN Regional Labs,MN,FIPS5_2
ARLN Regional Labs,NY,FIPS5_2
ARLN Regional Labs,TN,FIPS5_2
ARLN Regional Labs,TX,FIPS5_2
ARLN Regional Labs,WA,FIPS5_2
ARLN Regional Labs,WI,FIPS5_2
Jurisdiction PHL codes for GC,DEL,L
Jurisdiction PHL codes for GC,GAL,L
Jurisdiction PHL codes for GC,GCL,L
Jurisdiction PHL codes for GC,MAL,L
Jurisdiction PHL codes for GC,MCL,L
Jurisdiction PHL codes for GC,NYL,L
Jurisdiction PHL codes for GC,SFL,L
Jurisdiction PHL codes for GC,SLD,L
Jurisdiction PHL codes for GC,UWA,L
GC Facility codes,ALB,L
GC Facility codes,ALB-01,L
