Field,Field_1,Field_2,Field_3,MSH_11
MSH-3,,2.16.840.1.114222.4.3.3.2.40.1,ISO,P
MSH-3,Cyberlab.Houston.Stg,2.16.840.1.114222.4.3.3.2.40.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.40.2,ISO,T
MSH-3,IA PHIMS Prod,2.16.840.1.114222.4.3.3.5.1.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.5.1.1,ISO,P
MSH-3,IA PHIMS Stage,2.16.840.1.114222.4.3.3.5.1.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.5.1.2,ISO,T
MSH-3,Horizon,2.16.840.1.114222.4.3.3.18,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.18,ISO,P
MSH-3,Horizon,2.16.840.1.114222.4.3.3.18,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.18,ISO,T
MSH-3,STARLIMS.IL.PROD,2.16.840.1.114222.4.3.3.2.19.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.19.1,ISO,P
MSH-3,STARLIMS.IL.STAG,2.16.840.1.114222.4.3.3.2.19.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.19.2,ISO,T
MSH-3,STARLIMS.IN.Prod,2.16.840.1.114222.4.3.3.2.4.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.4.1,ISO,P
MSH-3,STARLIMS.IN.Stag,2.16.840.1.114222.4.3.3.2.4.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.4.2,ISO,T
MSH-3,CLIMS.KS.Prod,2.16.840.1.114222.4.3.3.2.42.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.42.1,ISO,P
MSH-3,CLIMS.KS.Stag,2.16.840.1.114222.4.3.3.2.42.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.42.2,ISO,T
MSH-3,KSU.VetView.PROD,2.16.840.1.114222.4.3.3.52.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.52.1,ISO,P
MSH-3,KSU.VetView.STAG,2.16.840.1.114222.4.3.3.52.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.52.2,ISO,T
MSH-3,LabWeb.KY.Prod,2.16.840.1.114222.4.3.3.2.16.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.16.1,ISO,P
MSH-3,LabWeb.KY.Stag,2.16.840.1.114222.4.3.3.2.16.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.16.2,ISO,T
MSH-3,STARLIMS.LA.PROD,2.16.840.1.114222.4.3.3.2.33.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.33.1,ISO,P
MSH-3,STARLIMS.LA.STAG,2.16.840.1.114222.4.3.3.2.33.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.33.2,ISO,T
MSH-3,MA.DOH.MAVEN,2.16.840.1.114222.4.3.3.2.46.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.46.1,ISO,P
MSH-3,MA.DOH.MAVEN,2.16.840.1.114222.4.3.3.2.46.1,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.46.1,ISO,T
MSH-3,MAStateLabLIMS Prod,2.16.840.1.114222.4.3.3.28,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.28,ISO,P
MSH-3,MAStateLabLIMS Stag,2.16.840.1.114222.4.3.3.28,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.28,ISO,T
MSH-3,STARLIMS.MD.Prod,2.16.840.1.114222.4.3.3.2.6.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.6.1,ISO,P
MSH-3,STARLIMS.MD.Stag,2.16.840.1.114222.4.3.3.2.6.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.6.2,ISO,T
MSH-3,STARLIMS.ME.Prod,2.16.840.1.114222.4.3.3.2.18.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.18.1,ISO,P
MSH-3,STARLIMS.ME.Stag,2.16.840.1.114222.4.3.3.2.18.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.18.2,ISO,T
MSH-3,STARLIMS.MI.PROD,2.16.840.1.114222.4.3.3.2.32.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.32.1,ISO,P
MSH-3,STARLIMS.MI.STAG,2.16.840.1.114222.4.3.3.2.32.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.32.2,ISO,T
MSH-3,ELIS.MN.Prod,2.16.840.1.114222.4.3.3.6.1.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.6.1.1,ISO,P
MSH-3,ELIS.MN.Stag,2.16.840.1.114222.4.3.3.6.1.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.6.1.2,ISO,T
MSH-3,LIMS.MN.STAGING,2.16.840.1.114222.4.3.4.23.1.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.4.23.1.2,ISO,T
MSH-3,LIMS.MN.STAGING,2.16.840.1.114222.4.3.4.23.1.2,ISO,D
MSH-3,,2.16.840.1.114222.4.3.4.23.1.2,ISO,D
MSH-3,LIMS.MN.PROD,2.16.840.1.114222.4.3.4.23.1.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.4.23.1.1,ISO,P
MSH-3,OPENELIS.MO.PROD,2.16.840.1.114222.4.3.3.2.7.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.7.1,ISO,P
MSH-3,OPENELIS.MO.STAG,2.16.840.1.114222.4.3.3.2.7.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.7.2,ISO,T
MSH-3,APOLLO.MS.Prod,2.16.840.1.114222.4.3.3.2.26.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.26.1,ISO,P
MSH-3,APOLLO.MS.Stag,2.16.840.1.114222.4.3.3.2.26.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.26.2,ISO,T
MSH-3,HARVEST.MT.Prod,2.16.840.1.114222.4.3.3.2.10.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.10.1,ISO,P
MSH-3,HARVEST.MT.Stag,2.16.840.1.114222.4.3.3.2.10.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.10.2,ISO,T
MSH-3,VADDS.MT.PROD,2.16.840.1.114222.4.3.4.26.2.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.4.26.2.1,ISO,P
MSH-3,VADDS.MT.STAG,2.16.840.1.114222.4.3.4.26.2.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.4.26.2.2,ISO,T
MSH-3,NCSLPH STARLIMS,2.16.840.1.114222.4.3.3.2.21.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.21.1,ISO,P
MSH-3,NCSLPH STARLIMS,2.16.840.1.114222.4.3.3.2.21.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.21.2,ISO,T
MSH-3,STARLIMS.ND.Prod,2.16.840.1.114222.4.3.3.2.28.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.28.1,ISO,P
MSH-3,STARLIMS.ND.Stag,2.16.840.1.114222.4.3.3.2.28.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.28.2,ISO,T
MSH-3,NE Misys Prod,2.16.840.1.114222.4.3.3.4.1.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.4.1.1,ISO,P
MSH-3,NE Misys Stage,2.16.840.1.114222.4.3.3.4.1.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.4.1.2,ISO,T
MSH-3,Chemware.NH.Prod,2.16.840.1.114222.4.3.3.2.15.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.15.1,ISO,P
MSH-3,Chemware.NH.Stag,2.16.840.1.114222.4.3.3.2.15.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.15.2,ISO,T
MSH-3,Orchard.NJ.Prod,2.16.840.1.114222.4.3.3.2.22.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.22.1,ISO,P
MSH-3,Orchard.NJ.Stag,2.16.840.1.114222.4.3.3.2.22.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.22.2,ISO,T
MSH-3,LabWare.NM.Prod,2.16.840.1.114222.4.3.3.14.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.14.1,ISO,P
MSH-3,LabWare.NM.Stag,2.16.840.1.114222.4.3.3.14.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.14.2,ISO,T
MSH-3,STARLIMS.NV.PROD,2.16.840.1.114222.4.3.3.2.37.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.37.1,ISO,P
MSH-3,STARLIMS.NV.STAG,2.16.840.1.114222.4.3.3.2.37.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.37.2,ISO,T
MSH-3,CLIMS.NY.Prod,2.16.840.1.114222.4.3.3.2.17.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.17.1,ISO,P
MSH-3,CLIMS.NY.Stag,2.16.840.1.114222.4.3.3.2.17.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.17.2,ISO,T
MSH-3,STARLIMS.NYC.PROD,2.16.840.1.114222.4.3.3.2.35.12,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.35.12,ISO,P
MSH-3,STARLIMS.NYC.STAG,2.16.840.1.114222.4.3.3.2.35.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.35.2,ISO,T
MSH-3,LITS.OH.PROD,2.16.840.1.114222.4.3.3.2.41.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.41.1,ISO,P
MSH-3,LITS.OH.STAG,2.16.840.1.114222.4.3.3.2.41.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.41.2,ISO,T
MSH-3,PALIMS.PA.PROD,2.16.840.1.114222.4.3.3.2.38.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.38.1,ISO,P
MSH-3,PALIMS.PA.STAG,2.16.840.1.114222.4.3.3.2.38.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.38.2,ISO,T
MSH-3,PHI_DPHL_Novius.PROD,2.16.840.1.114222.4.3.3.2.45.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.45.1,ISO,P
MSH-3,PHI_DPHL_Novius.STAG,2.16.840.1.114222.4.3.3.2.45.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.45.2,ISO,T
MSH-3,RI.Cerner.Prod,2.16.840.1.114222.4.1.105.43.1,ISO,P
MSH-3,,2.16.840.1.114222.4.1.105.43.1,ISO,P
MSH-3,RI.Cerner.Stage,2.16.840.1.114222.4.1.105.43.2,ISO,T
MSH-3,,2.16.840.1.114222.4.1.105.43.2,ISO,T
MSH-3,STARLIMS.SDC.PROD,2.16.840.1.114222.4.3.3.2.31.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.31.1,ISO,P
MSH-3,STARLIMS.SDC.STAG,2.16.840.1.114222.4.3.3.2.31.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.31.2,ISO,T
MSH-3,APOLLO.CA.SLO.PROD,2.16.840.1.114222.4.3.3.2.50.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.50.1,ISO,P
MSH-3,APOLLO.CA.SLO.STAG,2.16.840.1.114222.4.3.3.2.50.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.50.2,ISO,T
MSH-3,ELIS.SC.PROD,2.16.840.1.114222.4.3.4.40.1.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.4.40.1.1,ISO,P
MSH-3,ELIS.SC.STAG,2.16.840.1.114222.4.3.4.40.1.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.4.40.1.2,ISO,T
MSH-3,STARLIMS.TN.PROD,2.16.840.1.114222.4.3.3.2.34.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.34.1,ISO,P
MSH-3,STARLIMS.TN.STAG,2.16.840.1.114222.4.3.3.2.34.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.34.2,ISO,T
MSH-3,TX LabWare Prod,2.16.840.1.114222.4.3.3.23,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.23,ISO,P
MSH-3,TX LabWare Stag,2.16.840.1.114222.4.3.3.24,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.24,ISO,T
MSH-3,LabWare LIMS,2.16.840.1.114222.4.3.3.23,ISO,D
MSH-3,,2.16.840.1.114222.4.3.3.23,ISO,D
MSH-3,LabWare LIMS,2.16.840.1.114222.4.3.3.23,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.23,ISO,P
MSH-3,LabWare LIMS,2.16.840.1.114222.4.3.3.23,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.23,ISO,T
MSH-3,APP.USAFSAM.PROD,2.16.840.1.114222.4.3.3.2.48.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.48.1,ISO,P
MSH-3,APP.USAFSAM.STAG,2.16.840.1.114222.4.3.3.2.48.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.48.2,ISO,T
MSH-3,UT LabWare.Dev,2.16.840.1.114222.4.3.3.8.2.3,ISO,D
MSH-3,,2.16.840.1.114222.4.3.3.8.2.3,ISO,D
MSH-3,UT LabWare.Prod,2.16.840.1.114222.4.3.3.8.2.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.8.2.1,ISO,P
MSH-3,UT LabWare.Stage,2.16.840.1.114222.4.3.3.8.2.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.8.2.2,ISO,T
MSH-3,VA StarLIMS Prod,2.16.840.1.114222.4.3.3.2.2.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.2.1,ISO,P
MSH-3,VA STARLIMS Stag,2.16.840.1.114222.4.3.3.2.2.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.2.2,ISO,T
MSH-3,STARLIMS.VT.PROD,2.16.840.1.114222.4.3.3.2.20.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.20.1,ISO,P
MSH-3,STARLIMS.VT.STAG,2.16.840.1.114222.4.3.3.2.20.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.20.2,ISO,T
MSH-3,STARLIMS.WA.Prod,2.16.840.1.114222.4.3.3.2.30.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.30.1,ISO,P
MSH-3,STARLIMS.WA.Stag,2.16.840.1.114222.4.3.3.2.30.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.30.2,ISO,T
MSH-3,LIMS.WI.Prod,2.16.840.1.114222.4.3.3.2.8.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.8.1,ISO,P
MSH-3,LIMS.WI.Stag,2.16.840.1.114222.4.3.3.2.8.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.8.2,ISO,T
MSH-3,LIMS.WI.Stag,2.16.840.1.114222.4.3.3.2.8.2,ISO,D
MSH-3,,2.16.840.1.114222.4.3.3.2.8.2,ISO,D
MSH-3,STARLIMS.WV.PROD,2.16.840.1.114222.4.3.3.2.13.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.13.1,ISO,P
MSH-3,STARLIMS.WV.STAG,2.16.840.1.114222.4.3.3.2.13.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.13.2,ISO,T
MSH-3,STARLIMS.WY.Prod,2.16.840.1.114222.4.3.3.2.29.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.29.1,ISO,P
MSH-3,STARLIMS.WY.Stag,2.16.840.1.114222.4.3.3.2.29.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.29.2,ISO,T
