Field,Field_1,Field_2,Field_3,MSH_11
MSH-3,Chemware.AK.Prod,2.16.840.1.114222.4.3.3.42.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.42.1,ISO,P
MSH-3,Chemware.AK.Stag,2.16.840.1.114222.4.3.3.42.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.42.2,ISO,T
MSH-3,Chemware.AL.Prod,2.16.840.1.114222.4.3.3.2.12.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.12.1,ISO,P
MSH-3,Chemware.AL.Stag,2.16.840.1.114222.4.3.3.2.12.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.12.2,ISO,T
MSH-3,STARLIMS.AR.PROD,2.16.840.1.114222.4.3.3.2.5.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.5.1,ISO,P
MSH-3,STARLIMS.AR.STAG,2.16.840.1.114222.4.3.3.2.5.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.5.2,ISO,T
MSH-3,STARLIMS.AZ.PROD,2.16.840.1.114222.4.3.3.2.9.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.9.1,ISO,P
MSH-3,STARLIMS.AZ.STAG,2.16.840.1.114222.4.3.3.2.9.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.9.2,ISO,T
MSH-3,CA StarLIMS Prod,2.16.840.1.114222.4.3.3.2.3.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.3.1,ISO,P
MSH-3,CA StarLIMS Stag,2.16.840.1.114222.4.3.3.2.3.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.3.2,ISO,T
MSH-3,CHEMWARE.CO.PROD,2.16.840.1.114222.4.3.3.57.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.57.1,ISO,P
MSH-3,CHEMWARE.CO.STAG,2.16.840.1.114222.4.3.3.57.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.57.2,ISO,T
MSH-3,Chemware.CT.PROD,2.16.840.1.114222.4.3.3.2.43.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.43.1,ISO,P
MSH-3,Chemware.CT.STAG,2.16.840.1.114222.4.3.3.2.43.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.43.2,ISO,T
MSH-3,CHEMWARE.DC.Prod,2.16.840.1.114222.4.3.3.2.36.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.36.1,ISO,P
MSH-3,CHEMWARE.DC.Stag,2.16.840.1.114222.4.3.3.2.36.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.36.2,ISO,T
MSH-3,LABWARE.DE.PROD,2.16.840.1.114222.4.3.3.2.23.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.23.1,ISO,P
MSH-3,LABWARE.DE.STAG,2.16.840.1.114222.4.3.3.2.23.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.23.2,ISO,T
MSH-3,FL LabWare Prod,2.16.840.1.114222.4.3.3.8.1.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.8.1.1,ISO,P
MSH-3,FL LabWare Stage,2.16.840.1.114222.4.3.3.8.1.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.8.1.2,ISO,T
MSH-3,APOLLO.GA.PROD,2.16.840.1.114222.4.3.3.2.39.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.2.39.1,ISO,P
MSH-3,APOLLO.GA.STAG,2.16.840.1.114222.4.3.3.2.39.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.2.39.2,ISO,T
MSH-3,HI STARLIMS,2.16.840.1.114222.4.3.3.29.1,ISO,P
MSH-3,,2.16.840.1.114222.4.3.3.29.1,ISO,P
MSH-3,HI STARLIMS,2.16.840.1.114222.4.3.3.29.2,ISO,T
MSH-3,,2.16.840.1.114222.4.3.3.29.2,ISO,T
MSH-3,Cyberlab.Houston.Prd,2.16.840.1.114222.4.3.3.2.40.1,ISO,P
