OBX3 Code,OBX3 Code System
12237-4,LN
12272-1,LN
13327-2,LN
13921-2,LN
17520-8,LN
21363-7,LN
22822-1,LN
22827-0,LN
29257-3,LN
29591-5,LN
29908-1,LN
29909-9,LN
29910-7,LN
34487-9,LN
34645-2,LN
38270-5,LN
38272-1,LN
38917-1,LN
39311-6,LN
39312-4,LN
39313-2,LN
39314-0,LN
39315-7,LN
39316-5,LN
39317-3,LN
39318-1,LN
39319-9,LN
39528-5,LN
39536-8,LN
40436-8,LN
40979-7,LN
40982-1,LN
40988-8,LN
40991-2,LN
41000-1,LN
41003-5,LN
41005-0,LN
41009-2,LN
62423-9,LN
41010-0,LN
41461-5,LN
48509-4,LN
50024-9,LN
55097-0,LN
55098-8,LN
55099-6,LN
5855-2,LN
6584-7,LN
43364-9,LN
44263-2,LN
44556-9,LN
44568-4,LN
47532-7,LN
22827-0,LN
34487-9,LN
38272-1,LN
40982-1,LN
48509-4,LN
49521-8,LN
49523-4,LN
49524-2,LN
55464-2,LN
55465-9,LN
60494-2,LN
68986-9,LN
68987-7,LN
68993-5,LN
74785-7,LN
74786-5,LN
81428-5,LN
49519-2,LN
49520-0,LN
49521-8,LN
49522-6,LN
49523-4,LN
49524-2,LN
49525-9,LN
49526-7,LN
49527-5,LN
49528-3,LN
49522-6,LN
49529-1,LN
50701-2,LN
49532-5,LN
49533-3,LN
49534-1,LN
49535-8,LN
49531-7,LN
49535-8,LN
49537-4,LN
49538-2,LN
50024-9,LN
5876-8,LN
5877-6,LN
59423-4,LN
60494-2,LN
60528-7,LN
29908-1,LN
29909-9,LN
PLT26,PLT
PLT263,PLT
85801-9,LN
85802-7,LN
85803-5,LN
PLT276,PLT
PLT277,PLT
PLT280,PLT
29908-1,LN
29909-9,LN
29910-7,LN
34487-9,LN
39528-5,LN
40982-1,LN
29591-5,LN
29908-1,LN
29909-9,LN
29910-7,LN
30075-6,LN
30076-4,LN
34487-9,LN
38917-1,LN
39528-5,LN
40982-1,LN
40988-8,LN
41003-5,LN
41005-0,LN
41009-2,LN
41010-0,LN
49521-8,LN
49524-2,LN
50548-7,LN
55465-9,LN
62423-9,LN
73754-4,LN
73755-1,LN
7993-9,LN
PLT345,PLT
PLT346,PLT
PLT347,PLT
PLT363,PLT
50697-2,LN
50699-8,LN
50701-2,LN
50703-8,LN
50709-5,LN
50698-0,LN
50699-8,LN
50712-9,LN
PLT205,PLT
PLT206,PLT
PLT208,PLT
PLT237,PLT
PLT238,PLT
PLT239,PLT
PLT240,PLT
PLT241,PLT
PLT242,PLT
PLT243,PLT
PLT244,PLT
PLT245,PLT
PLT246,PLT
PLT270,PLT
PLT271,PLT
PLT272,PLT
19146-0,LN
5229-0,LN
5230-8,LN
13327-2,LN
43364-9,LN
54245-6,LN
16291-7,LN
38382-8,LN
44484-4,LN
48310-7,LN
55095-4,LN
55097-0,LN
55098-8,LN
55099-6,LN
55100-2,LN
34487-9,LN
49521-8,LN
55463-4,LN
34487-9,LN
49521-8,LN
55463-4,LN
55464-2,LN
55465-9,LN
5833-9,LN
5834-7,LN
5843-8,LN
5862-8,LN
5863-6,LN
5866-9,LN
5867-7,LN
5869-3,LN
5871-9,LN
5873-5,LN
29910-7,LN
30075-6,LN
30076-4,LN
34487-9,LN
38917-1,LN
39528-5,LN
40982-1,LN
49521-8,LN
49524-2,LN
7993-9,LN
61102-0,LN
62424-7,LN
29723-4,LN
6306-5,LN
41003-5,LN
41005-0,LN
41009-2,LN
62423-9,LN
5862-8,LN
5866-9,LN
6437-8,LN
14084-8,LN
14085-5,LN
54239-9,LN
5838-8,LN
5840-4,LN
5846-1,LN
5849-5,LN
5869-3,LN
5871-9,LN
5873-5,LN
6584-7,LN
67805-2,LN
67808-6,LN
67809-4,LN
67810-2,LN
67811-0,LN
68460-5,LN
38382-8,LN
48310-7,LN
6604-3,LN
6608-4,LN
11368-8,LN
11449-6,LN
21612-7,LN
85069-3,LN
86952-9,LN
86953-7,LN
86955-2,LN
FLU001,PHINQUESTION
FLU002,PHINQUESTION
LAB105,PHINQUESTION
Lab202,PHINQUESTION
LAB330,PHINQUESTION
LAB514,PHINQUESTION
LAB515,PHINQUESTION
LAB517,PHINQUESTION
