Value Set Name,Code,CodeSystem
(Non-coded date/time value),(DateTime),(n/a)
(Non-coded numeric value),(Numeric),(n/a)
(Non-coded text),(Text),(n/a)
(Non-coded structured numeric value),(StructNum),(n/a)
(Non-coded string value),(String),(n/a)
(PDF file result),(PDF),(n/a)
(FASTA file),(FASTA),(n/a)
RNase P PCR ordinal,260373001,SCT
RNase P PCR ordinal,260415000,SCT
RNase P PCR ordinal,373121007,SCT
RNase P PCR ordinal,10828004,SCT
RNase P PCR ordinal,260385009,SCT
Antibiotics for pertussis,723,RxNorm
Antibiotics for pertussis,733,RxNorm
Antibiotics for pertussis,151392,RxNorm
Antibiotics for pertussis,18631,RxNorm
Antibiotics for pertussis,203635,RxNorm
Antibiotics for pertussis,25033,RxNorm
Antibiotics for pertussis,21212,RxNorm
Antibiotics for pertussis,3640,RxNorm
Antibiotics for pertussis,4053,RxNorm
Antibiotics for pertussis,70618,RxNorm
Antibiotics for pertussis,10831,RxNorm
Antibiotics for pertussis,10395,RxNorm
"Yes, No, Unknown",Y,HL70136
"Yes, No, Unknown",N,HL70136
"Yes, No, Unknown",UNK,NULLFL
PCR ordinal,260373001,SCT
PCR ordinal,260415000,SCT
PCR ordinal,419984006,SCT
PCR ordinal,373121007,SCT
PCR ordinal,42425007,SCT
PCR ordinal,125154007,SCT
PCR ordinal with Indeterminate,260373001,SCT
PCR ordinal with Indeterminate,260415000,SCT
PCR ordinal with Indeterminate,82334004,SCT
PCR ordinal with Indeterminate,419984006,SCT
PCR ordinal with Indeterminate,373121007,SCT
Ct value interpretation,260373001,SCT
Ct value interpretation,260415000,SCT
Ct value interpretation,373121007,SCT
Ct value interpretation,10828004,SCT
Ct value interpretation,260385009,SCT
Serology ordinal,10828004,SCT
Serology ordinal,260385009,SCT
Serology ordinal,42425007,SCT
Serology ordinal,82334004,SCT
Serology ordinal,373121007,SCT
Serology ordinal,125154007,SCT
Culture ordinal,46651001,SCT
Culture ordinal,264887000,SCT
Culture ordinal,264868006,SCT
Culture ordinal,62604006,SCT
Culture ordinal,125154007,SCT
Culture ordinal,373121007,SCT
Measles genotyping,426558008,SCT
Measles genotyping,732209005,SCT
Measles genotyping,426654002,SCT
Measles genotyping,427073007,SCT
Measles genotyping,426188007,SCT
Measles genotyping,427182003,SCT
Measles genotyping,732208002,SCT
Measles genotyping,426640005,SCT
Measles genotyping,425970007,SCT
Measles genotyping,426261008,SCT
Measles genotyping,427706006,SCT
Measles genotyping,426028006,SCT
Measles genotyping,427353006,SCT
Measles genotyping,427290009,SCT
Measles genotyping,426535005,SCT
Measles genotyping,427263000,SCT
Measles genotyping,698204007,SCT
Measles genotyping,732207007,SCT
Measles genotyping,732206003,SCT
Measles genotyping,732210000,SCT
Measles genotyping,426091009,SCT
Measles genotyping,425684000,SCT
Measles genotyping,425966004,SCT
Measles genotyping,426424002,SCT
Measles genotyping,260385009,SCT
Measles genotyping,PLR226,PLR
Measles genotyping,82334004,SCT
Measles genotyping,419984006,SCT
Measles genotyping,373121007,SCT
Measles genotyping,PLR168,PLR
Measles genotyping,52584002,SCT
Measles genotyping,125154007,SCT
Mumps genotyping,725443000,SCT
Mumps genotyping,725444006,SCT
Mumps genotyping,725445007,SCT
Mumps genotyping,725446008,SCT
Mumps genotyping,PLR312,PLR
Mumps genotyping,725447004,SCT
Mumps genotyping,725448009,SCT
Mumps genotyping,725449001,SCT
Mumps genotyping,725450001,SCT
Mumps genotyping,725451002,SCT
Mumps genotyping,725452009,SCT
Mumps genotyping,725453004,SCT
Mumps genotyping,725454005,SCT
Mumps genotyping,PLR373,PLR
Mumps genotyping,PLR313,PLR
Mumps genotyping,260385009,SCT
Mumps genotyping,PLR226,PLR
Mumps genotyping,419984006,SCT
Mumps genotyping,373121007,SCT
Mumps genotyping,PLR168,PLR
Mumps genotyping,(none),(n/a)
Mumps genotyping,125154007,SCT
Rubella genotyping,PLR526,PLR
Rubella genotyping,425872000,SCT
Rubella genotyping,425415004,SCT
Rubella genotyping,427398000,SCT
Rubella genotyping,427559006,SCT
Rubella genotyping,426085007,SCT
Rubella genotyping,426367009,SCT
Rubella genotyping,426209008,SCT
Rubella genotyping,698201004,SCT
Rubella genotyping,698202006,SCT
Rubella genotyping,698203001,SCT
Rubella genotyping,425891000,SCT
Rubella genotyping,426612000,SCT
Rubella genotyping,427329000,SCT
Rubella genotyping,260385009,SCT
Rubella genotyping,PLR226,PLR
Rubella genotyping,419984006,SCT
Rubella genotyping,373121007,SCT
Rubella genotyping,PLR168,PLR
Rubella genotyping,5210005,SCT
Rubella genotyping,PLR165,PLR
Rubella genotyping,PLR166,PLR
Rubella genotyping,PLR167,PLR
Rubella genotyping,125154007,SCT
VZV strain PCR,734285001,SCT
VZV strain PCR,734287009,SCT
VZV strain PCR,PLR225,PLR
VZV strain PCR,260415000,SCT
VZV strain PCR,419984006,SCT
VZV strain PCR,373121007,SCT
VZV strain PCR,125154007,SCT
VZV genotyping,725469006,SCT
VZV genotyping,725470007,SCT
VZV genotyping,PLR222,PLR
VZV genotyping,725471006,SCT
VZV genotyping,725472004,SCT
VZV genotyping,725473009,SCT
VZV genotyping,PLR215,PLR
VZV genotyping,PLR532,PLR
VZV genotyping,PLR216,PLR
VZV genotyping,PLR217,PLR
VZV genotyping,260385009,SCT
VZV genotyping,PLR226,PLR
VZV genotyping,419984006,SCT
VZV genotyping,373121007,SCT
VZV genotyping,125154007,SCT
Ct interpretation with Indeterminate,260373001,SCT
